"pointid","xcoord","ycoord"
80,493247.927219652,4708525.60541905
81,496620.328114687,4707806.15989477
82,498796.650825616,4708417.68859041
83,499174.35972586,4710755.8865443
84,499048.456759112,4711295.4706875
85,498364.983511052,4714299.15575135
86,498266.059751464,4715153.49731142
87,497312.794431801,4717851.41802745
88,511135.141566917,4705405.01045751
89,511216.079188398,4706277.33815569
90,508563.123817637,4710342.20536784
91,508545.137679531,4711430.3667233
92,508383.262436569,4711808.07562355
93,508302.324815088,4711799.08255449
94,508185.414917393,4711951.9647284
95,507897.636707684,4714245.19733703
96,507654.823843241,4714497.00327052
97,506854.440697486,4716871.17350063
98,506152.981311319,4717302.84081519
99,504822.007091412,4718822.66948522
100,504525.235812649,4719353.26055937
101,504039.610083764,4722293.99413984
102,503904.714047962,4722356.94562322
103,503742.838805001,4722842.5713521
104,503473.046733398,4725873.23562311
105,502151.065582544,4731394.98002191
106,502339.920032666,4732150.3978224
107,502330.926963613,4733391.44135177
108,509210.624789484,4705414.00352656
109,508554.130748584,4707716.22920424
110,508167.428779287,4708309.77176176
111,508347.290160355,4709820.60736274
112,488652.468933351,4705422.99659561
113,482564.161184181,4705692.78866722
114,491692.126273409,4706376.26191528
115,508167.428779287,4706520.15102013
116,486179.374943659,4706574.10943445
117,499902.798319188,4707239.59654441
118,482438.258217433,4707482.40940885
119,488994.205557381,4707797.16682572
120,496494.425147939,4708156.88958786
121,507591.872359867,4708192.86186407
122,525191.308497423,4708588.55690242
123,526171.553024247,4712140.81917852
124,526081.622333712,4712410.61125013
125,526441.345095849,4713219.98746494
126,525937.733228858,4714299.15575135
127,526342.421336262,4716043.81114771
128,526504.296579223,4716772.24974104
129,527007.908446215,4717194.92398655
130,527583.464865635,4718265.09920391
131,527646.416349009,4719928.81697879
132,527448.568829833,4722293.99413984
133,526459.331233956,4723256.25252856
134,526630.199545971,4723687.91984312
135,526765.095581773,4723849.79508609
136,527097.83913675,4725126.81089167
137,527016.901515269,4726322.88907578
138,526036.656988445,4728463.23951049
139,526180.5460933,4730468.69390941
140,526207.52530046,4732393.21068684
141,526207.52530046,4732519.11365359
142,526468.32430301,4733382.44828272
143,526621.206476918,4734326.72053333
144,526585.234200704,4734488.59577629
145,526648.185684078,4734632.48488114
146,526396.379750582,4735468.84030311
147,526153.56688614,4735927.48682484
148,525622.975811988,4736853.77293734
149,525488.079776186,4739965.37482983
150,525416.135223759,4740280.1322467
151,525407.142154705,4740361.06986818
152,525335.197602278,4740711.79956126
153,524939.502563927,4742699.26782207
154,524957.488702034,4743589.58165836
155,524642.731285164,4744929.54894732
156,524336.966937348,4745532.0845739
157,524076.167934798,4745927.77961225
158,524103.147141959,4746026.70337184
159,523869.327346569,4746917.01720812
160,524004.223382371,4748427.8528091
161,523806.375863195,4749336.1527835
162,523554.569929699,4750145.52899831
163,523707.452103608,4751296.64183714
164,523509.604584432,4752240.91408775
165,523005.99271744,4753338.06851227
166,522664.25609341,4754740.98728461
167,521818.907602388,4756575.5733715
168,519984.321515489,4756287.79516179
169,519669.564098619,4756350.74664517
170,518905.153229078,4757277.03275767
171,518599.388881261,4758320.22876787
172,517241.435454194,4760280.71782152
173,516486.017653706,4760775.33661946
174,516072.336477249,4761584.71283426
175,515766.572129432,4763230.44447104
176,515137.057295692,4765181.94045563
177,514957.195914624,4766315.06715637
178,514048.895940228,4767340.27702846
179,513626.221694717,4767744.96513586
180,513545.284073236,4768104.687898
181,513266.498932579,4768752.18886984
182,512852.817756122,4769723.44032761
183,512439.136579664,4771027.43534036
184,512394.171234397,4771818.82541706
185,511962.503919833,4773545.49467532
186,511827.607884031,4773833.27288503
187,510298.786144949,4777043.7985371
188,508365.276298462,4775928.65797448
189,506890.4129737,4776549.17973917
190,505397.563510831,4776630.11736065
191,505370.584303671,4776630.11736065
192,503284.192283276,4776576.15894633
193,501125.855710454,4777052.79160616
194,500559.292360088,4777412.51436829
195,498715.713204135,4779525.88559585
196,487110.151706465,4795722.2045325
197,484457.672715259,4796533.64821665
198,482896.904739158,4708849.35590497
199,505208.709060709,4710009.46181286
200,483148.710672654,4710063.42022718
201,528950.411361755,4710099.3925034
202,527736.347039543,4712419.60431918
203,526693.151029345,4713264.9528102
204,486709.966017811,4710099.3925034
205,514759.348395448,4710126.37171056
206,514012.923664014,4711412.3805852
207,526558.254993544,4710809.84495862
208,501890.266579995,4710827.83109672
209,489344.935250465,4711025.6786159
210,530470.240031785,4711088.63009927
211,527817.284661024,4712401.61818107
212,493661.60839611,4711133.59544454
213,494686.8182682,4714182.24585365
214,494749.769751574,4715522.21314261
215,493832.476708125,4716817.21508631
216,491898.966861638,4711151.58158265
217,485693.749214774,4711232.51920413
218,485900.589803002,4711178.56078981
219,486620.035327277,4711871.02710692
220,508671.040646279,4711385.40137804
221,506152.981311319,4711457.34593046
222,483661.315608699,4711529.29048289
223,496872.134048183,4711547.276621
224,487060.695710894,4711835.05483071
225,494983.589546963,4711880.02017597
226,507259.128804891,4711996.93007367
227,515271.953331494,4712113.83997136
228,515065.112743265,4712122.83304042
229,514066.882078334,4711493.31820668
230,525937.733228858,4712392.62511202
231,483886.142335035,4712824.29242658
232,484731.490826057,4712707.38252889
233,508751.978267759,4713130.0567744
234,511350.9752242,4713264.9528102
235,483715.27402302,4713417.83498411
236,504165.513050512,4713606.68943423
237,503904.714047962,4714748.80920402
238,503967.665531336,4716331.58935742
239,491800.04310205,4713705.61319382
