section,repunit,distkm
snake_wilsonsouthpark,spreadnf_flagstaff,97.77446923655529
snake_wilsonsouthpark,spring_nps,81.41938436435763
snake_wilsonsouthpark,spring_tss,16.68886092504857
snake_wilsonsouthpark,threechannel_NA,19.65002939751685
snake_wilsonsouthpark,upperbarbc_NA,38.69963907939096
snake_wilsonsouthpark,white_NA,98.63064322345743
snake_wilsonsouthpark,willow_NA,29.918310160580123
snake_wilsonsouthpark,NA,NA
snake_wilsonsouthpark,NA,NA
snake_wilsonsouthpark,NA,NA
snake_wilsonsouthpark,NA,NA
snake_wilsonsouthpark,NA,NA
snake_southparkastoria,bailey_NA,20.797118428217956
snake_southparkastoria,blackrock_lower,115.84903841493485
snake_southparkastoria,blackrock_upper,134.0747593977367
snake_southparkastoria,blacktail_NA,56.48487356841682
snake_southparkastoria,blindbull_NA,93.2826149456956
snake_southparkastoria,boulder_NA,28.849677909938194
snake_southparkastoria,box_NA,127.48282096770994
snake_southparkastoria,cabin_NA,18.909787927906343
snake_southparkastoria,clear_NA,129.53367933296184
snake_southparkastoria,cliff_NA,31.62758697777242
snake_southparkastoria,cody_bluecrane,18.59828731244239
snake_southparkastoria,cottonwood_grosventre,101.85459954451801
snake_southparkastoria,cottonwood_nps,57.735923671083015
snake_southparkastoria,cowboycabin_NA,66.13394482800733
snake_southparkastoria,crystal_lower,79.90449634494179
snake_southparkastoria,crystal_upper,88.62488009704046
snake_southparkastoria,deadman_greys,90.92173771898459
snake_southparkastoria,deadmansbar_NA,74.38014273596742
snake_southparkastoria,dell_NA,39.629648365115045
snake_southparkastoria,ditch_NA,70.30483032945452
snake_southparkastoria,dog_NA,13.692136441067042
snake_southparkastoria,fall_coburn,5.31439316197158
snake_southparkastoria,fish_NA,23.86171266050645
snake_southparkastoria,fish_grosventre,103.05706890601797
snake_southparkastoria,flat_NA,36.78093346098291
snake_southparkastoria,fordspring_NA,22.970958067804357
snake_southparkastoria,goosewing_NA,98.54433712528116
snake_southparkastoria,granite_lower,25.398237932771814
snake_southparkastoria,granite_upper,40.39048925944716
snake_southparkastoria,grosventre_lower,46.893561490673406
snake_southparkastoria,hoback_upper,71.02284066434312
snake_southparkastoria,horse_NA,4.894165732153976
snake_southparkastoria,lava_NA,102.38428517116083
snake_southparkastoria,leidy_NA,120.20901226932575
snake_southparkastoria,littlegreys_steer,69.99179568415444
snake_southparkastoria,lowerbarbc_NA,38.710139041705595
snake_southparkastoria,mosquito_NA,23.921130913155494
snake_southparkastoria,northbuffalofork_NA,141.3600413870304
snake_southparkastoria,pacific_NA,95.12152737872064
snake_southparkastoria,rock_NA,96.71434601318765
snake_southparkastoria,shoal_NA,28.557800262556444
snake_southparkastoria,slate_NA,84.23390642467565
snake_southparkastoria,snakeriversidechannel_NA,58.306586459123594
snake_southparkastoria,spread_southfork,115.00744688284581
snake_southparkastoria,spread_uppermainstem,105.07575577616034
snake_southparkastoria,spreadnf_flagstaff,116.82810084861613
snake_southparkastoria,spring_nps,100.47301597641847
snake_southparkastoria,spring_tss,22.982174957665798
snake_southparkastoria,threechannel_NA,38.70366100957769
snake_southparkastoria,upperbarbc_NA,57.75327069145179
snake_southparkastoria,white_NA,79.57701161139661
snake_southparkastoria,willow_NA,10.864678548519292
snake_southparkastoria,NA,NA
snake_southparkastoria,NA,NA
snake_southparkastoria,NA,NA
snake_southparkastoria,NA,NA
snake_southparkastoria,NA,NA
snake_astoriawesttable,bailey_NA,4.742187407220427
snake_astoriawesttable,blackrock_lower,133.89319997398962
snake_astoriawesttable,blackrock_upper,152.11892095679144
snake_astoriawesttable,blacktail_NA,74.52903512747156
snake_astoriawesttable,blindbull_NA,77.22768392469807
snake_astoriawesttable,boulder_NA,42.26840688350419
snake_astoriawesttable,box_NA,145.52698252676467
snake_astoriawesttable,cabin_NA,0.8656263688515878
snake_astoriawesttable,clear_NA,147.5778408920166
snake_astoriawesttable,cliff_NA,45.04631595133841
snake_astoriawesttable,cody_bluecrane,36.64244887149714
snake_astoriawesttable,cottonwood_grosventre,119.89876110357277
snake_astoriawesttable,cottonwood_nps,75.78008523013776
snake_astoriawesttable,cowboycabin_NA,84.17810638706209
snake_astoriawesttable,crystal_lower,97.94865790399655
snake_astoriawesttable,crystal_upper,106.6690416560952
snake_astoriawesttable,deadman_greys,74.86680669798704
snake_astoriawesttable,deadmansbar_NA,92.42430429502217
snake_astoriawesttable,dell_NA,53.048377338681036
snake_astoriawesttable,ditch_NA,88.34899188850926
snake_astoriawesttable,dog_NA,8.55324049125396
snake_astoriawesttable,fall_coburn,17.38830663589507
snake_astoriawesttable,fish_NA,41.9058742195612
snake_astoriawesttable,fish_grosventre,121.10123046507272
snake_astoriawesttable,flat_NA,54.82509502003766
snake_astoriawesttable,fordspring_NA,41.01511962685911
snake_astoriawesttable,goosewing_NA,116.5884986843359
snake_astoriawesttable,granite_lower,38.816966906337804
snake_astoriawesttable,granite_upper,53.80921823301315
snake_astoriawesttable,grosventre_lower,64.93772304972816
snake_astoriawesttable,hoback_upper,84.44156963790911
snake_astoriawesttable,horse_NA,22.938327291208726
snake_astoriawesttable,lava_NA,120.42844673021558
snake_astoriawesttable,leidy_NA,138.2531738283805
snake_astoriawesttable,littlegreys_steer,53.9368646631569
snake_astoriawesttable,lowerbarbc_NA,56.754300600760345
snake_astoriawesttable,mosquito_NA,41.965292472210244
snake_astoriawesttable,northbuffalofork_NA,159.40420294608515
snake_astoriawesttable,pacific_NA,113.1656889377754
snake_astoriawesttable,rock_NA,114.7585075722424
snake_astoriawesttable,shoal_NA,41.976529236122424
snake_astoriawesttable,slate_NA,102.2780679837304
